Date;GDP;Unemployment;CPI_avg;EUR_UAH_avg;USD_UAH_avg;Key_rate_eop;EUR_UAH_eop;USD_UAH_eop;FCST
20240331;5.5;14.25;6.6;40.49;37.2;14.5;43.36;38.78;base 
20240630;5.3;13.5;6.6;41.42;37.79;14;44.53;39.55;base 
20240930;5.1;12.75;6.6;42.35;38.39;13.5;45.69;40.33;base 
20241231;4.9;12;6.6;43.28;38.99;13;46.85;41.1;base 
20250331;5.3;11.25;8.5;44.48;39.7;12.25;47.47;41.45;base 
20250630;5.7;10.5;8.5;45.69;40.41;11.5;48.08;41.8;base 
20250930;6.1;9.75;8.5;46.89;41.12;10.75;48.69;42.15;base 
20251231;6.5;9;8.5;48.1;41.83;10;49.3;42.5;base 
20260331;6.38;8.75;6.5;48.72;42.18;9.5;49.85;42.88;base 
20260630;6.25;8.5;6.5;49.35;42.54;9;50.39;43.25;base 
20260930;6.13;8.25;6.5;49.98;42.89;8.5;50.94;43.63;base 
20261231;6;8;6.5;50.6;43.25;8;51.48;44;base 
20240331;2.275;16.25;20;41.048;37.698;17.5;45.33;40.5;worst
20240630;-1.15;17.5;20;42.535;38.799;20;48.46;43;worst
20240930;-4.575;18.75;20;44.023;39.899;22.5;51.59;45.5;worst
20241231;-8;20;20;45.51;41;25;54.72;48;worst
20250331;-7.25;19.5;17;48.939;43.625;25;56.99;49.75;worst
20250630;-6.5;19;17;52.368;46.25;25;59.26;51.5;worst
20250930;-5.75;18.5;17;55.796;48.875;25;61.53;53.25;worst
20251231;-5;18;17;59.225;51.5;25;63.8;55;worst
20260331;-5;17.75;14;61.238;53;23.75;65.4;56.25;worst
20260630;-5;17.5;14;63.25;54.5;22.5;67;57.5;worst
20260930;-5;17.25;14;65.263;56;21.25;68.6;58.75;worst
20261231;-5;17;14;67.275;57.5;20;70.2;60;worst
