Date;GDP;Unemployment;CPI_avg;EUR_UAH_avg;USD_UAH_avg;Key_rate_eop;EUR_UAH_eop;USD_UAH_eop;DR
20070331;9.1;7.4;10.1;6.6;5.1;8.5;6.7;5.1;0.112806815
20070630;8.8;6.6;13;6.8;5.1;8;6.8;5.1;0.119368391
20070930;6.7;6.2;14.4;6.9;5.1;8;7.2;5.1;0.121433709
20071231;8.2;6.4;16.6;6.9;5.1;8;7.4;5.1;0.124380331
20080331;8.5;7.1;26.2;7.6;5.1;10;8;5.1;0.098199184
20080630;6.2;6.2;29.3;7.8;5;12;7.6;4.8;0.120145587
20080930;4.3;6;24.6;7.3;4.8;12;7;4.9;0.139192303
20081231;2.2;6.4;22.3;7.7;5.3;12;10.9;7.7;0.153750623
20090331;-19.6;9.5;18.1;10.1;7.7;12;10.2;7.7;0.519747198
20090630;-17.3;9.1;15;10.4;7.7;11;10.8;7.6;0.444195592
20090930;-15.7;8.6;15;11.2;7.8;10.3;11.7;8;0.336958186
20091231;-15.1;8.8;12.3;10.9;7.8;10.3;11.4;8;0.279171212
20100331;4.5;9;11;11.1;8;10.3;10.7;7.9;0.136274489
20100630;5.4;8.5;6.9;10.1;7.9;9.5;9.6;7.9;0.136980987
20100930;3.3;8;10.5;10.2;7.9;7.8;10.8;7.9;0.127470888
20101231;4.1;8.1;9.1;10.5;7.9;7.8;10.6;8;0.110035221
20110331;5.1;8.7;7.7;10.8;7.9;7.8;11.2;8;0.050315171
20110630;3.9;8.2;11.9;11.5;8;7.8;11.5;8;0.053608005
20110930;6.5;7.8;5.9;11.3;8;7.8;10.9;8;0.056031343
20111231;5.5;7.9;4.6;11.1;8;7.8;10.3;8;0.05272476
20120331;2.5;8.4;1.9;10.5;8;7.5;10.6;8;0.059238381
20120630;3.1;7.8;-1.2;10.3;8;7.2;10;8;0.063927491
20120930;-1.3;7.4;0;10;8;7.5;10.3;8;0.065744688
20121231;0.2;7.5;-0.2;10.3;8;7.5;10.5;8;0.066179588
20130331;-1.2;8;-0.8;10.5;8;7.5;10.2;8;0.076832905
20130630;-1.3;7.5;-0.1;10.4;8;7;10.4;8;0.077978632
20130930;-1.2;7;-0.5;10.6;8;6.5;10.8;8;0.078200301
20131231;0;7.2;0.5;10.6;8;6.5;11;8;0.075199447
20140331;-1;9;3.4;12.1;8.9;6.5;15.1;11;0.077925986
20140630;-4.3;8.6;12;16;11.7;9.5;16.1;11.8;0.152521202
20140930;-5.3;8.9;17.5;16.7;12.6;12.5;16.4;12.9;0.198940316
20141231;-6.6;9.3;24.9;15.7;11.9;14;19.2;15.8;0.225071764
20150331;-16;9.6;45.8;23.8;21.1;30;25.4;23.4;0.342471585
20150630;-14.5;9.2;57.5;23.9;21.6;30;23.5;21;0.327960057
20150930;-7;9;51.9;24.1;21.7;22;24.1;21.5;0.24525252
20151231;-9.8;9.1;43.3;24.2;21.8;22;26.2;24;0.200404192
20160331;0.1;9.9;20.9;28.3;25.7;22;29.7;26.2;0.068421471
20160630;1.7;9.4;6.9;28.6;25.3;16.5;27.6;24.9;0.061849333
20160930;2.7;9.2;7.9;28.3;25.4;15;29.1;25.9;0.057080912
20161231;2.4;9.3;12.4;28.3;25.5;14;28.4;27.2;0.05272279
20170331;2.8;10.1;15.1;28.8;27.1;14;29;27;0.040131055
20170630;2.7;9.6;15.6;29.1;26.5;12.5;29.8;26.1;0.041894657
20170930;2.3;9.4;16.4;30.4;25.9;12.5;31.2;26.5;0.042309122
20171231;2.4;9.5;13.7;30;26.6;14.5;33.5;28.1;0.041712799
20180331;3.5;9.7;13.2;33.6;27.3;17;32.7;26.5;0.042893397
20180630;3.9;8.9;9.9;31.3;26.2;17;30.6;26.2;0.042208436
20180930;2.7;8.6;8.9;31.8;27.3;18;33.1;28.3;0.042544197
20181231;3.5;8.8;9.8;32.1;27.2;18;31.7;27.7;0.044401053
20190331;3.1;9.2;8.6;31;27.3;18;30.6;27.2;0.037849381
20190630;4.8;8.5;9;29.8;26.6;17.5;29.7;26.2;0.040515404
20190930;3.8;8.1;7.5;28.1;25.3;16.5;26.3;24.1;0.044755352
20191231;3.2;8.2;4.1;28.9;25.8;13.5;26.4;23.7;0.047784421
20200331;-0.9;8.6;2.3;27.6;25.1;10;31;28.1;0.065594251
20200630;-11;9.2;2.4;29.6;26.9;6;30;26.7;0.085916731
20200930;-3.3;9.3;2.3;32.2;27.6;6;33.1;28.3;0.085273598
20201231;-3.8;9.5;5;30.8;27;6;34.7;28.3;0.081291747
20210331;-2.3;10.5;8.5;33.8;28;6.5;32.7;27.9;0.067868832
20210630;6.2;9.9;9.5;33.2;27.6;7.5;32.3;27.2;0.073464951
20210930;2.9;9.7;11;31.7;26.9;8.5;31;26.6;0.075840955
20211231;3.4;9.9;10;32.3;27.3;9;30.9;27.3;0.078846861
20220331;-14.9;11.9;13.7;32.3;28.6;10;32.6;29.3;0.045148543
20220630;-36.9;13.9;21.5;31.2;29.3;25;30.8;29.3;0.068864813
20220930;-30.6;15.9;24.6;35.2;35;25;35.6;36.6;0.195859811
20221231;-29.1;18;26.6;34;32.4;25;39;36.6;0.205036805
20230331;-20.4;17.2;21.3;39.2;36.6;25;39.8;36.6;0.213676391
20230630;-11.7;16.4;12.8;39.8;36.6;25;40;36.6;0.158499194
20230930;-3;15.6;7.1;39.8;36.6;20;38.6;36.6;0.136207629
20231231;5.7;15;5.1;39.6;36.6;15;42.2;38;0.118239344
