Date;GDP;Unemployment;CPI_avg;EUR_UAH_avg;USD_UAH_avg;Key_rate_eop;EUR_UAH_eop;USD_UAH_eop;DR
20180331;3.5;9.7;13.2;33.6;27.3;17;32.7;26.5; 0.03 
20180630;3.9;8.9;9.9;31.3;26.2;17;30.6;26.2; 0.03 
20180930;2.7;8.6;8.9;31.8;27.3;18;33.1;28.3; 0.03 
20181231;3.5;8.8;9.8;32.1;27.2;18;31.7;27.7; 0.06 
20190331;3.1;9.2;8.6;31;27.3;18;30.6;27.2; 0.04 
20190630;4.8;8.5;9;29.8;26.6;17.5;29.7;26.2; 0.04 
20190930;3.8;8.1;7.5;28.1;25.3;16.5;26.3;24.1; 0.05 
20191231;3.2;8.2;4.1;28.9;25.8;13.5;26.4;23.7; 0.09 
20200331;-0.9;8.6;2.3;27.6;25.1;10;31;28.1; 0.08 
20200630;-11;9.2;2.4;29.6;26.9;6;30;26.7; 0.09 
20200930;-3.3;9.3;2.3;32.2;27.6;6;33.1;28.3; 0.09 
20201231;-3.8;9.5;5;30.8;27;6;34.7;28.3; 0.09 
20210331;-2.3;10.5;8.5;33.8;28;6.5;32.7;27.9; 0.07 
20210630;6.2;9.9;9.5;33.2;27.6;7.5;32.3;27.2; 0.08 
20210930;2.9;9.7;11;31.7;26.9;8.5;31;26.6; 0.10 
20211231;3.4;9.9;10;32.3;27.3;9;30.9;27.3; 0.10 
20220331;-14.9;11.9;13.7;32.3;28.6;10;32.6;29.3; 0.04 
20220630;-36.9;13.9;21.5;31.2;29.3;25;30.8;29.3; 0.08 
20220930;-30.6;15.9;24.6;35.2;35;25;35.6;36.6; 0.21 
20221231;-29.1;18;26.6;34;32.4;25;39;36.6; 0.22 
20230331;-20.4;17.2;21.3;39.2;36.6;25;39.8;36.6; 0.24 
20230630;-11.7;16.4;12.8;39.8;36.6;25;40;36.6; 0.18 
20230930;-3;15.6;7.1;39.8;36.6;20;38.6;36.6; 0.15 
20231231;5.7;15;5.1;39.6;36.6;15;42.2;38; 0.13 
