Date;GDP;Unemployment;CPI_avg;EUR_UAH_avg;USD_UAH_avg;Key_rate_eop;EUR_UAH_eop;USD_UAH_eop;DR
20071231;8.2;6.4;12.8;6.9;5.1;8;7.4;5.1;0.124380331
20081231;2.2;6.4;25.3;7.7;5.3;12;10.9;7.7;0.153750623
20091231;-15.1;8.8;16;10.9;7.8;10.3;11.4;8;0.279171212
20101231;4.1;8.1;9.4;10.5;7.9;7.8;10.6;8;0.110035221
20111231;5.5;7.9;8;11.1;8;7.8;10.3;8;0.05272476
20121231;0.2;7.5;0.6;10.3;8;7.5;10.5;8;0.066179588
20131231;0;7.2;-0.3;10.6;8;6.5;11;8;0.075199447
20141231;-6.6;9.3;12.1;15.7;11.9;14;19.2;15.8;0.225071764
20151231;-9.8;9.1;48.5;24.2;21.8;22;26.2;24;0.200404192
20161231;2.4;9.3;14.9;28.3;25.5;14;28.4;27.2;0.05272279
20171231;2.4;9.5;14.5;30;26.6;14.5;33.5;28.1;0.041712799
20181231;3.5;8.8;11;32.1;27.2;18;31.7;27.7;0.044401053
20191231;3.2;8.2;7.9;28.9;25.8;13.5;26.4;23.7;0.047784421
20201231;-3.8;9.5;2.7;30.8;27;6;34.7;28.3;0.081291747
20211231;3.4;9.9;9.3;32.3;27.3;9;30.9;27.3;0.078846861
20221231;-29.1;18;20.1;34;32.4;25;39;36.6;0.205036805
20231231;5.7;15;13.4;39.6;36.6;15;42.2;38;0.118239344
