,value
2003-03-01,376.5448885473223
2003-04-01,377.70750980531255
2003-05-01,378.1528793674231
2003-06-01,377.6662249410873
2003-07-01,376.158042072033
2003-08-01,374.09809039013294
2003-09-01,372.53638212517336
2003-10-01,372.68814075567013
2003-11-01,374.06973146423024
2003-12-01,375.501949425257
2004-01-01,376.5852397830491
2004-02-01,377.3468777134811
2004-03-01,378.27247929784716
2004-04-01,379.43783439393485
2004-05-01,379.8835647853495
2004-06-01,379.39695798355547
2004-07-01,377.8887814002905
2004-08-01,375.82883054802875
2004-09-01,374.26712239257006
2004-10-01,374.41888103751944
2004-11-01,375.8004717479871
2004-12-01,377.2326897092657
2005-01-01,378.31598006709095
2005-02-01,379.0776179975273
2005-03-01,380.0032195818939
2005-04-01,381.16857467798167
2005-05-01,381.6143050693963
2005-06-01,381.1276982676023
2005-07-01,379.61952168433726
2005-08-01,377.5595708320755
2005-09-01,375.9978626766169
2005-10-01,376.14962132156626
2005-11-01,377.5312120320339
2005-12-01,378.9634299933125
2006-01-01,380.0467203511377
2006-02-01,380.8083582815741
2006-03-01,381.73395986594073
2006-04-01,382.8993149620285
2006-05-01,383.34504535344314
2006-06-01,382.8584385516491
2006-07-01,381.3502619683841
2006-08-01,379.2903111161223
2006-09-01,377.7286029606637
2006-10-01,377.8803616056131
2006-11-01,379.26195231608074
2006-12-01,380.6941702773593
2007-01-01,381.7774606351845
2007-02-01,382.5390985656209
2007-03-01,383.46470014998755
2007-04-01,384.6300552460753
2007-05-01,385.07578563748996
2007-06-01,384.5891788356959
2007-07-01,383.0810022524309
2007-08-01,381.02105140016914
2007-09-01,379.4593432447105
2007-10-01,379.6111018896599
2007-11-01,380.99269260012755
2007-12-01,382.42491056140614
2008-01-01,383.50820091923134
2008-02-01,384.26983884966774
2008-03-01,385.19544043403437
2008-04-01,386.3607955301221
2008-05-01,386.8065259215368
2008-06-01,386.31991911974274
2008-07-01,384.8117425364777
2008-08-01,382.75179168421596
2008-09-01,381.1900835287573
2008-10-01,381.3418421737067
2008-11-01,382.7234328841744
2008-12-01,384.15565084545295
2009-01-01,385.23894120327816
2009-02-01,386.00057913371455
2009-03-01,386.9261807180812
2009-04-01,388.09153581416894
2009-05-01,388.5372662055836
2009-06-01,388.05065940378955
2009-07-01,386.5424828205245
2009-08-01,384.4825319682628
2009-09-01,382.92082381280414
2009-10-01,383.0725824577535
2009-11-01,384.4541731682212
2009-12-01,385.88639112949977
2010-01-01,386.969681487325
2010-02-01,387.73131941776137
2010-03-01,388.656921002128
2010-04-01,389.82227609821575
2010-05-01,390.2680064896304
2010-06-01,389.78139968783637
2010-07-01,388.27322310457134
2010-08-01,386.2132722523096
2010-09-01,384.65156409685096
2010-10-01,384.80332274180034
2010-11-01,386.184913452268
2010-12-01,387.6171314135466
2011-01-01,388.7004217713718
2011-02-01,389.4620597018082
2011-03-01,390.3876612861748
2011-04-01,391.55301638226257
2011-05-01,391.9987467736772
2011-06-01,391.5121399718832
2011-07-01,390.00396338861816
2011-08-01,387.9440125363564
2011-09-01,386.3823043808978
2011-10-01,386.53406302584716
2011-11-01,387.9156537363148
2011-12-01,389.3478716975934
2012-01-01,390.4311620554186
2012-02-01,391.192799985855
2012-03-01,392.11840157022164
2012-04-01,393.2837566663094
2012-05-01,393.72948705772404
2012-06-01,393.24288025593
2012-07-01,391.734703672665
2012-08-01,389.6747528204032
2012-09-01,388.1130446649446
2012-10-01,388.264803309894
2012-11-01,389.64639402036164
2012-12-01,391.0786119816402
2013-01-01,392.1619023394654
2013-02-01,392.9235402699018
2013-03-01,393.84914185426845
2013-04-01,395.0144969503562
2013-05-01,395.46022734177086
2013-06-01,394.9736205399768
2013-07-01,393.4654439567118
2013-08-01,391.40549310445004
2013-09-01,389.8437849489914
2013-10-01,389.9955435939408
2013-11-01,391.37713430440846
2013-12-01,392.80935226568704
2014-01-01,393.89264262351224
2014-02-01,394.65428055394864
2014-03-01,395.57988213831527
2014-04-01,396.745237234403
2014-05-01,397.1909676258177
2014-06-01,396.70436082402364
2014-07-01,395.1961842407586
2014-08-01,393.13623338849686
2014-09-01,391.57452523303823
2014-10-01,391.7262838779876
2014-11-01,393.1078745884553
2014-12-01,394.54009254973386
2015-01-01,395.62338290755906
2015-02-01,396.38502083799546
2015-03-01,397.3106224223621
2015-04-01,398.47597751844984
2015-05-01,398.9217079098645
2015-06-01,398.43510110807046
2015-07-01,396.92692452480543
2015-08-01,394.8669736725437
2015-09-01,393.30526551708505
2015-10-01,393.45702416203443
2015-11-01,394.8386148725021
2015-12-01,396.2708328337807
2016-01-01,397.3541231916059
2016-02-01,398.1157611220423
2016-03-01,399.0413627064089
2016-04-01,400.20671780249666
2016-05-01,400.6524481939113
2016-06-01,400.1658413921173
2016-07-01,398.65766480885225
2016-08-01,396.5977139565905
2016-09-01,395.03600580113186
2016-10-01,395.18776444608125
2016-11-01,396.5693551565489
2016-12-01,398.0015731178275
2017-01-01,399.0848634756527
2017-02-01,399.8465014060891
2017-03-01,400.7721029904557
2017-04-01,401.9374580865435
2017-05-01,402.38318847795813
2017-06-01,401.8965816761641
2017-07-01,400.38840509289906
2017-08-01,398.3284542406373
2017-09-01,396.7667460851787
2017-10-01,396.91850473012806
2017-11-01,398.3000954405957
2017-12-01,399.7323134018743
2018-01-01,400.8156037596995
2018-02-01,401.5772416901359
2018-03-01,402.50284327450254
2018-04-01,403.6681983705903
2018-05-01,404.11392876200495
2018-06-01,403.6273219602109
2018-07-01,402.1191453769459
2018-08-01,400.05919452468413
2018-09-01,398.4974863692255
2018-10-01,398.6492450141749
2018-11-01,400.03083572464254
2018-12-01,401.4630536859211
2019-01-01,402.54634404374633
2019-02-01,403.3079819741827
2019-03-01,404.23358355854936
2019-04-01,405.3989386546371
2019-05-01,405.84466904605176
2019-06-01,405.3580622442577
2019-07-01,403.8498856609927
2019-08-01,401.78993480873095
2019-09-01,400.2282266532723
2019-10-01,400.3799852982217
2019-11-01,401.76157600868936
2019-12-01,403.19379396996794
2020-01-01,404.27708432779315
2020-02-01,405.03872225822954
2020-03-01,405.9643238425962
2020-04-01,407.1296789386839
2020-05-01,407.5754093300986
2020-06-01,407.08880252830454
2020-07-01,405.5806259450395
2020-08-01,403.52067509277776
2020-09-01,401.95896693731913
2020-10-01,402.1107255822685
2020-11-01,403.4923162927362
2020-12-01,404.92453425401476
2021-01-01,406.00782461183996
2021-02-01,406.76946254227636
2021-03-01,407.695064126643
2021-04-01,408.86041922273074
2021-05-01,409.3061496141454
2021-06-01,408.81954281235136
2021-07-01,407.31136622908633
2021-08-01,405.2514153768246
2021-09-01,403.68970722136595
2021-10-01,403.84146586631533
2021-11-01,405.223056576783
2021-12-01,406.6552745380616
2022-01-01,407.7385648958868
2022-02-01,408.5002028263232
2022-03-01,409.4258044106898
2022-04-01,410.59115950677756
2022-05-01,411.0368898981922
2022-06-01,410.5502830963982
2022-07-01,409.04210651313315
2022-08-01,406.9821556608714
2022-09-01,405.42044750541277
2022-10-01,405.57220615036215
2022-11-01,406.9537968608298
2022-12-01,408.3860148221084
2023-01-01,409.4693051799336
2023-02-01,410.23094311037
2023-03-01,411.1565446947366
2023-04-01,412.3218997908244
2023-05-01,412.76763018223903
2023-06-01,412.281023380445
2023-07-01,410.77284679717997
2023-08-01,408.7128959449182
2023-09-01,407.1511877894596
2023-10-01,407.30294643440897
2023-11-01,408.68453714487663
2023-12-01,410.1167551061552
2024-01-01,411.2000454639804
2024-02-01,411.9616833944168
2024-03-01,412.88728497878344
2024-04-01,414.0526400748712
2024-05-01,414.49837046628585
2024-06-01,414.0117636644918
2024-07-01,412.5035870812268
2024-08-01,410.44363622896503
2024-09-01,408.8819280735064
2024-10-01,409.0336867184558
2024-11-01,410.41527742892345
2024-12-01,411.847495390202
2025-01-01,412.93078574802723
2025-02-01,413.6924236784636
2025-03-01,414.61802526283026
2025-04-01,415.783380358918
2025-05-01,416.22911075033267
2025-06-01,415.7425039485386
2025-07-01,414.2343273652736
2025-08-01,412.17437651301185
2025-09-01,410.6126683575532
2025-10-01,410.7644270025026
2025-11-01,412.14601771297026
2025-12-01,413.57823567424884
2026-01-01,414.66152603207405
2026-02-01,415.42316396251044
2026-03-01,416.3487655468771
2026-04-01,417.5141206429648
2026-05-01,417.9598510343795
2026-06-01,417.47324423258544
2026-07-01,415.9650676493204
2026-08-01,413.90511679705867
2026-09-01,412.34340864160004
2026-10-01,412.4951672865494
2026-11-01,413.8767579970171
2026-12-01,415.30897595829566
2027-01-01,416.39226631612087
2027-02-01,417.15390424655726
2027-03-01,418.0795058309239
2027-04-01,419.24486092701164
2027-05-01,419.6905913184263
2027-06-01,419.20398451663226
2027-07-01,417.69580793336723
2027-08-01,415.6358570811055
2027-09-01,414.07414892564685
2027-10-01,414.22590757059623
2027-11-01,415.6074982810639
2027-12-01,417.0397162423425
2028-01-01,418.1230066001677
2028-02-01,418.8846445306041
2028-03-01,419.8102461149707
2028-04-01,420.97560121105846
2028-05-01,421.4213316024731
2028-06-01,420.9347248006791
2028-07-01,419.42654821741405
2028-08-01,417.3665973651523
2028-09-01,415.80488920969367
2028-10-01,415.95664785464305
2028-11-01,417.3382385651107
2028-12-01,418.7704565263893
2029-01-01,419.8537468842145
2029-02-01,420.6153848146509
2029-03-01,421.5409863990175
2029-04-01,422.7063414951053
2029-05-01,423.15207188651993
2029-06-01,422.6654650847259
2029-07-01,421.15728850146087
2029-08-01,419.0973376491991
2029-09-01,417.5356294937405
2029-10-01,417.68738813868987
2029-11-01,419.06897884915753
2029-12-01,420.5011968104361
2030-01-01,421.5844871682613
2030-02-01,422.3461250986977
2030-03-01,423.27172668306434
2030-04-01,424.4370817791521
2030-05-01,424.88281217056675
2030-06-01,424.3962053687727
2030-07-01,422.8880287855077
2030-08-01,420.82807793324594
2030-09-01,419.2663697777873
2030-10-01,419.4181284227367
2030-11-01,420.79971913320435
2030-12-01,422.23193709448293
2031-01-01,423.31522745230814
2031-02-01,424.07686538274453
2031-03-01,425.00246696711116
2031-04-01,426.1678220631989
2031-05-01,426.61355245461357
2031-06-01,426.12694565281953
2031-07-01,424.6187690695545
2031-08-01,422.55881821729275
2031-09-01,420.9971100618341
2031-10-01,421.1488687067835
2031-11-01,422.53045941725117
2031-12-01,423.96267737852975
2032-01-01,425.04596773635495
2032-02-01,425.80760566679135
2032-03-01,426.733207251158
2032-04-01,427.89856234724573
2032-05-01,428.3442927386604
2032-06-01,427.85768593686635
2032-07-01,426.3495093536013
2032-08-01,424.28955850133957
2032-09-01,422.72785034588094
2032-10-01,422.8796089908303
2032-11-01,424.261199701298
2032-12-01,425.69341766257656
2033-01-01,426.77670802040177
2033-02-01,427.53834595083816
